model_filename,evaluation_run_path,model_architecture,classification_type,num_classes_model,epochs,epochs_labeled,epochs_combined,learning_rate,learning_rate_config,batch_size,loss_function_type,imbalance_strategy,label_fraction,training_option_resnet_e2,num_layers_trained_excluding_fc,data_augmentation,finetune_bn,l2_lambda,monitor_gradients,gradient_monitor_interval,used_scheduler,vit_model_checkpoint,training_type,training_time_seconds,test_accuracy,test_loss,final_train_loss,final_val_loss,final_train_acc,final_val_acc,weighted_precision,weighted_recall,weighted_f1_score,roc_auc,pr_auc,roc_auc_ovr_weighted
vit_binary_1ep_lr5e-05_sup_augFalse_bnFalse.pth,evaluation/vit/binary/vit_binary_1ep_lr5e-05_sup_augFalse_bnFalse,vit,binary,1,1,,,5e-05,,,,,,,,False,False,0.0,True,60,False,google/vit-base-patch16-224,supervised,,0.9850543478260869,0.33775517085324164,0.3418166528901328,0.33967869437259174,98.89436979078074,98.77384196185287,0.9850739504922668,0.9850543478260869,0.9850621058127061,0.9973288591724472,0.9984088750757489,
vit_binary_1ep_lr3e-05_sup_augFalse_bnFalse.pth,evaluation/vit/binary/vit_binary_1ep_lr3e-05_sup_augFalse_bnFalse,vit,binary,1,1,,,3e-05,,,,,,,,False,False,0.0,True,60,False,google/vit-base-patch16-224,supervised,,0.7948369565217391,0.5312408221804578,0.5311987552305927,0.5367342687171438,79.77547201905085,79.97275204359673,0.848216771668159,0.7948369565217391,0.8009343316917136,0.9318692142672309,0.9633324834859056,
vit_binary_1ep_lr1e-05_sup_augFalse_bnFalse.pth,evaluation/vit/binary/vit_binary_1ep_lr1e-05_sup_augFalse_bnFalse,vit,binary,1,1,,,1e-05,,,,,,,,False,False,0.0,True,60,False,google/vit-base-patch16-224,supervised,,0.7622282608695652,0.5668743395287058,0.574617722760076,0.5806334718413975,74.58751488348359,74.93188010899182,0.754502951542936,0.7622282608695652,0.7549092953721602,0.8331121294835516,0.9178774161430054,
vit_binary_2ep_lr5e-05_sup_augFalse_bnFalse.pth,evaluation/vit/binary/vit_binary_2ep_lr5e-05_sup_augFalse_bnFalse,vit,binary,1,2,,,5e-05,,,,,,,,False,False,0.0,True,60,False,google/vit-base-patch16-224,supervised,,0.9972826086956522,0.19544156025285306,0.2019340620254693,0.19514869153499603,99.26858309236265,99.7275204359673,0.9972935880544577,0.9972826086956522,0.9972797446468655,0.9997996644379336,0.9998989800035523,
vit_multiclass_2ep_lr5e-05_sup_vitlayers0_augFalse_bnFalse_gradmon.pth,evaluation/vit/multiclass/vit_multiclass_2ep_lr5e-05_sup_vitlayers0_augFalse_bnFalse_gradmon,vit,multiclass,37,2,,,5e-05,,32,,,,,,False,False,0.0,True,60,False,google/vit-base-patch16-224,supervised,456.6657419204712,0.8586956521739131,1.2573729649834011,1.2290830210499142,1.244051456451416,85.03146793672393,83.65122615803814,0.8657137936189407,0.8586956521739131,0.8549446999383195,,,0.9950270757747363
vit_multiclass_2ep_lr5e-05_sup_vitlayers1_augFalse_bnFalse_gradmon.pth,evaluation/vit/multiclass/vit_multiclass_2ep_lr5e-05_sup_vitlayers1_augFalse_bnFalse_gradmon,vit,multiclass,37,2,,,5e-05,,32,,,,,,False,False,0.0,True,60,False,google/vit-base-patch16-224,supervised,485.0932288169861,0.9252717391304348,0.3390248521514561,0.30279421385215677,0.34844870476619055,94.64194590916823,92.09809264305177,0.930353317999271,0.9252717391304348,0.925021789215326,,,0.9991822015338222
vit_multiclass_2ep_lr5e-05_sup_vitlayers3_augFalse_bnFalse_gradmon.pth,evaluation/vit/multiclass/vit_multiclass_2ep_lr5e-05_sup_vitlayers3_augFalse_bnFalse_gradmon,vit,multiclass,37,2,,,5e-05,,32,,,,,,False,False,0.0,True,60,False,google/vit-base-patch16-224,supervised,548.8975982666016,0.9429347826086957,0.2138081659441409,0.13535676469378496,0.21096646332222482,97.56761353971764,95.50408719346049,0.9481330020066308,0.9429347826086957,0.9432880869721307,,,0.9994123072841319
vit_multiclass_2ep_lr5e-05_sup_vitlayers6_augFalse_bnFalse_gradmon.pth,evaluation/vit/multiclass/vit_multiclass_2ep_lr5e-05_sup_vitlayers6_augFalse_bnFalse_gradmon,vit,multiclass,37,2,,,5e-05,,32,,,,,,False,False,0.0,True,60,False,google/vit-base-patch16-224,supervised,629.1820299625397,0.9510869565217391,0.19971845525762308,0.08300009629000789,0.20995662199414294,98.8093213131485,94.4141689373297,0.9538822109644537,0.9510869565217391,0.9512108058115862,,,0.9994915318981227
vit_multiclass_2ep_lr3e-05_sup_vitlayers12_augFalse_bnFalse_gradmon.pth,evaluation/vit/multiclass/vit_multiclass_2ep_lr3e-05_sup_vitlayers12_augFalse_bnFalse_gradmon,vit,multiclass,37,2,,,3e-05,,32,,,,,,False,False,0.0,True,60,False,google/vit-base-patch16-224,supervised,767.939957857132,0.9334239130434783,0.271430553301521,0.1246965543124015,0.2778157740831375,98.79231161762205,94.27792915531334,0.9377106095069583,0.9334239130434783,0.9331342519066709,,,0.9992861931875453
vit_multiclass_2ep_lr1e-05_sup_vitlayersALL_augFalse_bnFalse_gradmon.pth,evaluation/vit/multiclass/vit_multiclass_2ep_lr1e-05_sup_vitlayersALL_augFalse_bnFalse_gradmon,vit,multiclass,37,2,,,1e-05,,32,,,,,,False,False,0.0,True,60,False,google/vit-base-patch16-224,supervised,771.5634467601776,0.9144021739130435,0.7116820760395216,0.5901607981194621,0.7245661357174749,95.62850824970234,91.96185286103542,0.919620614452332,0.9144021739130435,0.9135854786445201,,,0.9984941066787352
